Date,Close,Volume,MOM (1),MOM (3),ADX (14),ADX (20),WILLR,RSI (6),RSI (12),MACD,MACD (Signal),MACD (Historical),EMA (6),EMA (12),Conf. Time,Block Size,TXN Cost,Difficulty,TXNs per Day,Hash Rate (GH/s),Market Cap,Miners Revenue,TXNs per Block,Unique Addresses,Total BTC,TXN Fees,Trend
2014-03-16,634.99,2088127.1470599999,-2.25,-6.019999999999982,30.03866700683599,32.34592083162144,-50.68928233545072,51.69581493334581,50.260938621775864,-3.644561515745636,-8.534856077059853,4.890294561314217,635.1928967006759,632.786749892486,14.8666666667,0.17121318020399998,42.812232249299996,4250217919.87,58730.0,33382.157647500004,7950718680.0,2514362.4,408.0,121995.0,12522000.0,6594.49904355,-1.0
2014-03-15,637.24,1394529.18466,6.82000000000005,2.2899999999999636,31.01590889858485,32.81299399759145,-46.343949044585976,53.65970506107871,50.88079096427679,-4.160457357043015,-9.757429717388407,5.596972360345392,635.2740553809463,632.3861589638472,10.733333333300001,0.19436394827700001,42.3498124374,4250217919.87,65898.0,36973.9087867,7965110034.5,2790767.94,431.0,128219.0,12518050.0,7496.34735877,-1.0
2014-03-14,630.42,5501965.37821,-10.590000000000032,-1.6800000000000637,32.068323243545166,33.304649961770394,-45.474285714285735,48.74097796259761,49.13792070820074,-4.9875032147419915,-11.156672807474754,6.1691695927327626,634.4876775333247,631.5036424118193,12.433333333299998,0.269413646177,32.3073227613,4250217919.87,68735.0,29367.8475506,7964578727.25,2220643.83,434.0,139218.0,12513675.0,8915.63430374,1.0
2014-03-13,641.01,4331849.619,6.059999999999945,11.620000000000005,33.20169253811781,33.822182555642975,-39.42285714285715,56.50136151644072,51.751651990643175,-5.276168971808829,-12.698965205657945,7.422796233849116,636.1147485466546,631.7006683048774,13.566666666700002,0.240805134971,36.1487312225,4250217919.87,75356.0,35706.2319141,8039179622.0,2724023.79,399.0,165883.0,12510200.0,9549.05298705,-1.0
2014-03-12,634.95,8167080.26711,2.8500000000000227,-5.0499999999999545,34.56848481329721,34.42443868207862,-42.88571428571426,52.92737612695299,50.36679612772787,-6.646121716693187,-14.554664264120225,7.908542547427038,634.1566479653164,630.0080625421278,11.2666666667,0.246250067438,35.6191965167,3815723798.81,76019.0,31866.350690400006,8030086547.5,2707735.7,364.0,165460.0,12505975.0,11094.9203515,1.0
2014-03-11,632.1,5753906.272000001,2.7100000000000364,12.100000000000023,36.0404149557981,35.05839249937931,-43.277777777777764,51.36116143011786,49.744946265227526,-7.680990540648395,-16.531799900976985,8.85080936032859,633.839307151443,629.1095284588783,8.0,0.239131836664,34.5073140919,3815723798.81,76086.0,31866.350690400006,7787355647.5,2625523.5,371.0,152037.0,12501775.0,9625.28955757,1.0
2014-03-10,629.39,8379172.339269999,-10.610000000000014,-3.3999999999999773,37.28469062032404,35.5672310842696,-26.003225806451617,50.04407873021189,49.1900679969322,-8.599954158996297,-18.74450224105913,10.144548082062833,634.5350300120201,628.5658063604926,8.23333333333,0.22768834431999996,38.5472495733,3815723798.81,66786.0,31297.3087138,7773366674.25,2574416.61,376.0,164890.0,12497575.0,8978.2413979,1.0
2014-03-09,640.0,5813863.57968,20.0,-29.57000000000005,38.62467979750583,36.10285064731202,-22.58064516129032,54.893814857867774,51.219676811432116,-9.371868389556766,-21.28063926157484,11.908770872018074,636.5930420168281,628.4159529714913,7.083333333330001,0.207559870511,42.8040085497,3815723798.81,61289.0,31107.628054900004,7970696165.5,2623414.88,494.0,155361.0,12493450.0,7694.59846472,-1.0
2014-03-08,620.0,5993946.68943,-12.789999999999964,-49.99000000000001,40.13418471038782,36.69495358297935,-29.032258064516128,46.79434550576856,47.474882198058936,-11.301084467260353,-24.257831979579358,12.956747512319005,635.2302588235594,626.3097626026715,6.216666666669999,0.209857553755,37.6192708993,3815723798.81,71019.0,33194.115302499995,7606014150.0,2671683.0,445.0,154394.0,12489350.0,7906.59619113,1.0
2014-03-07,632.79,13634040.5882,-36.780000000000086,-40.210000000000036,41.44931016124378,37.167400260316796,-24.906451612903236,51.746078440226604,49.71204153419787,-11.562722668732818,-27.497018857659107,15.93429618892629,641.3223623529832,627.4569921667936,7.2,0.22914341680999997,37.4071565146,3815723798.81,69559.0,31676.670031499998,7756914967.5,2602004.4,452.0,154757.0,12484975.0,8199.29237841,-1.0
2014-03-06,669.57,6899577.417230001,-0.4199999999999591,-8.120000000000005,42.99468720464915,37.72175442501114,-13.041935483870951,69.32616163274893,56.76305236140281,-13.030737643430712,-31.480592904890678,18.449855261459966,644.7353072941766,626.4873543789379,7.93333333333,0.250716645041,37.2824150016,3815723798.81,71619.0,30728.2667371,8200135216.0,2670129.28,452.0,171560.0,12480800.0,9775.05630774,-1.0
2014-03-05,669.99,8460673.85969,-3.009999999999991,103.75,45.20421441970462,38.54377682464241,-12.906451612903222,69.5510170151094,56.84745379137522,-18.459793299958847,-36.09305672025567,17.63326342029682,634.8014302118471,618.6541460841993,8.55,0.275178595359,36.201153306900004,3815723798.81,74178.0,30538.5860783,8295167237.5,2685329.15,404.0,180104.0,12476750.0,9775.4834668,-1.0
2014-03-04,673.0,19083495.9124,-4.690000000000055,105.51999999999998,47.61252385636404,39.421607034874334,-11.935483870967742,70.92487122037298,57.40822645960787,-25.163500071746057,-40.501372575329874,15.337872503583817,620.726002296586,609.3203544631447,10.85,0.365622664527,27.5489050933,3815723798.81,85916.0,26365.6115831,8451643187.25,2366891.73,373.0,201394.0,12472725.0,12351.8990199,-1.0
2014-03-03,677.69,41032096.4942,111.45000000000005,125.80000000000007,50.206087865074196,40.34563883511847,-10.422580645161272,72.79187487956781,58.22863508404987,-33.660325804874674,-44.33584070122583,10.675514896351153,599.8164032152204,597.7422370928073,8.98333333333,0.29514829205800003,32.7258524489,3815723798.81,72585.0,26934.6535597,8310755125.0,2375406.0,405.0,187106.0,12469250.0,9836.74771812,-1.0
2014-03-02,566.24,3620383.3385,-1.240000000000009,-16.75999999999999,52.99915679753128,41.31830388800704,-37.26555719083739,43.164626894842165,39.34779269638712,-44.493287728906125,-47.00471942531362,2.5114316964074916,568.6669645013085,583.2062802005904,7.966666666669999,0.222637176514,35.4125261144,3815723798.81,59067.0,28262.4181718,6979296116.0,2091711.68,416.0,139563.0,12465700.0,6214.79846884,1.0
2014-03-01,567.48,7964319.568469999,15.590000000000032,-17.75999999999999,52.992586610783746,40.81886067467737,-37.97037037037036,43.604865387625836,39.53002393590043,-46.32527494497663,-47.63257734941549,1.3073024044388646,569.6377503018319,586.2910584188796,10.0,0.265275169063,33.5083196514,3815723798.81,63344.0,28072.7375129,7122018712.5,2122551.0,442.0,151446.0,12461975.0,8513.98344634,-1.0
2014-02-28,551.89,12774750.3994,-31.110000000000014,16.889999999999986,52.98551102505564,40.293130976435606,-44.39726177837976,36.857660911972275,36.12044950813289,-48.11598917428876,-47.95940295052521,-0.15658622376354714,570.5008504225647,589.711250858676,6.983333333330001,0.19957178197,38.029648469099996,3815723798.81,71658.0,35659.963867800005,7200509201.75,2725128.55,460.0,145830.0,12458275.0,8835.00260517,1.0
2014-02-27,583.0,10002403.1063,-2.240000000000009,47.50999999999999,53.02470275269616,39.76390775235829,-41.514860977948224,46.01197368394857,40.27433042762245,-48.11437731171213,-47.92025639458432,-0.19412091712781177,577.9451905915905,596.5878419238898,7.06666666667,0.206538970654,37.3721879155,3129573174.52,71447.0,28314.0905923,7287458482.75,2670130.71,618.0,164199.0,12453575.0,8146.41089394,-1.0
2014-02-26,585.24,28306168.0658,50.24000000000001,-24.850000000000023,53.3030052145596,39.32905210086776,-40.79897730904442,46.70804937672962,40.58236373677077,-50.580038137125825,-47.87172616530237,-2.7083119718234556,575.9232668282267,599.0583586373242,7.916666666669999,0.22130200612599998,37.147368406300004,3129573174.52,71527.0,28158.518665900003,7287410254.5,2657039.82,511.0,166920.0,12449025.0,8688.30028413,-1.0
2014-02-25,535.0,55642025.4509,-0.4900000000000091,-75.88,53.60271555810483,38.871309309825094,-56.85522531160115,25.69938922421151,29.495786822527247,-53.21948103593195,-47.194648172346504,-6.024832863585445,572.1965735595174,601.5707874804741,8.0,0.276148594127,26.8261511357,3129573174.52,84004.0,26447.2274763,6570696000.0,2253504.0,396.0,208180.0,12444500.0,9747.04902336,1.0
2014-02-24,535.49,29300894.6979,-74.60000000000002,-45.860000000000014,52.38343508682768,37.622038977159725,-89.57665792795416,25.78199653567908,29.54507299121606,-50.69892297534011,-45.688439956450146,-5.010483018889964,587.0752029833244,613.6745670223785,7.4,0.205297674452,36.3062806587,3129573174.52,68496.0,28314.0905923,6779936250.0,2486835.0,428.0,167219.0,12440250.0,7619.175831300001,-1.0
