N/A,Singapore Central Bank Urges 'Extreme Caution' on Bitcoin Investment,https://www.coindesk.com/singapores-central-bank-urges-extreme-caution-on-bitcoin-investments/
N/A,"Bitcoin No Threat to Financial Stability, Say European Economists",https://www.coindesk.com/bitcoin-no-threat-to-financial-stability-say-european-economists/
N/A,Chain Moves to Simplify Smart Contracts on Bitcoin Blockchain,https://www.coindesk.com/chain-moves-simplify-smart-contracts-bitcoin-blockchain/
N/A,Bring on the FUD: 2017 Was The Year Bitcoin Became Anti-Fragile,https://www.coindesk.com/bring-fud-2017-year-bitcoin-became-anti-fragile/
N/A,Coinbase Halts Bitcoin Cash Trading Abruptly After Launch,https://www.coindesk.com/coinbase-halts-bitcoin-cash-trading-abruptly-exchange-launch/
N/A,$17k Breached: Bitcoin Down 15% from All-Time High,https://www.coindesk.com/17k-breached-bitcoin-price-now-down-15-from-all-time-high/
N/A,Nobel Winner Robert Shiller: Bitcoin Is Too 'Ambiguous' to Value,https://www.coindesk.com/nobel-winner-robert-shiller-bitcoin-ambiguous-value/
N/A,Bitcoin Exchange Youbit to Declare Bankruptcy After Hack,https://www.coindesk.com/south-korean-bitcoin-exchange-declare-bankruptcy-hack/
N/A,"$2,300 and Rising: Bitcoin Cash Gains Against Bitcoin",https://www.coindesk.com/2300-rising-bitcoin-cash-eyes-gains-bitcoin/
N/A,Bitcoin Risks Bearish Price Reversal as Altcoins Surge,https://www.coindesk.com/bitcoin-risks-bearish-price-reversal-as-altcoins-surge/
N/A,Kuwait's Ministry of Finance Says It Does Not Recognize Bitcoin,https://www.coindesk.com/kuwaits-ministry-of-finance-says-it-does-not-recognize-bitcoin/
N/A,"'Stay Away' from Bitcoin, Warns Danish Central Bank Chief",https://www.coindesk.com/stay-away-from-bitcoin-warns-danish-central-bank-chief/
N/A,"Bitcoin Likely to Become 'Niche' Product, Says ING's Top Economist",https://www.coindesk.com/bitcoin-likely-become-niche-product-says-ings-top-economist/
N/A,Hedge Fund Pro Miller Is '50 Percent' Invested in Bitcoin,https://www.coindesk.com/hedge-fund-pro-bill-miller-just-about-50-percent-invested-in-bitcoin/
